Region,Subregion,Locality,Place,CollectingArea,Member,Formation,Order,Family,Subfamily,Tribe,GenusQualifier,Genus,SpeciesQualifier,Species,Subspecies,min_ma,max_ma,n_species,Delete
Tugen Hills,Tugen Hills,Chemeron (BPRP 1),NA,NA,Chemeron,Chemeron,Artiodactyla,Suidae,Suinae,NA,NA,Kolpochoerus,NA,deheinzelini,NA,5.14,5.14,24,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 1),NA,NA,Chemeron,Chemeron,Proboscidea,Elephantidae,Elephantinae,Loxodontini,NA,Loxodonta,NA,adaurora,NA,5.14,5.14,24,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 1),NA,NA,Chemeron,Chemeron,Artiodactyla,Suidae,Tetraconodontinae,NA,NA,Nyanzachoerus,NA,jaegeri,NA,5.14,5.14,24,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 1),NA,NA,Chemeron,Chemeron,Proboscidea,Elephantidae,Elephantinae,NA,NA,Primelephas,NA,korotorensis,NA,5.14,5.14,24,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 1),NA,NA,Chemeron,Chemeron,Artiodactyla,Suidae,Tetraconodontinae,NA,NA,Sivachoerus,NA,syrticus,NA,5.14,5.14,24,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 1),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Bovinae,Bovini,NA,gen,NA,sp,NA,5.14,5.14,24,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 101),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Aepycerotinae,Aepycerotini,NA,Aepyceros,NA,melampus,NA,2.68,2.68,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 101),NA,NA,Chemeron,Chemeron,Proboscidea,Deinotheriidae,Deinotheriinae,NA,NA,Deinotherium,NA,bozasi,NA,2.68,2.68,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 101),NA,NA,Chemeron,Chemeron,Proboscidea,Elephantidae,Elephantinae,Elephantini,NA,Elephas,NA,recki,NA,2.68,2.68,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 101),NA,NA,Chemeron,Chemeron,Artiodactyla,Giraffidae,Giraffinae,NA,NA,Giraffa,NA,pygmaea,NA,2.68,2.68,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 101),NA,NA,Chemeron,Chemeron,Perissodactyla,Equidae,Equinae,Hipparionini,NA,Hipparion,NA,sp,NA,2.68,2.68,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 101),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Reduncinae,Reduncini,NA,Kobus,NA,oricornus,NA,2.68,2.68,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 101),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Alcelaphinae,Alcelaphini,NA,Megalotragus,NA,sp,NA,2.68,2.68,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 101),NA,NA,Chemeron,Chemeron,Artiodactyla,Suidae,Tetraconodontinae,NA,NA,Notochoerus,NA,euilus,NA,2.68,2.68,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 101),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Bovinae,Bovini,NA,Pelorovis,NA,turkanensis,NA,2.68,2.68,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 101),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Bovinae,Tragelaphini,NA,Tragelaphus,NA,nakuae,NA,2.68,2.68,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 101),NA,NA,Chemeron,Chemeron,Primates,indet.,NA,NA,NA,gen,NA,sp,NA,2.68,2.68,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 102),NA,NA,Chemeron,Chemeron,Proboscidea,Deinotheriidae,Deinotheriinae,NA,NA,Deinotherium,NA,bozasi,NA,3.5,3.7,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 102),NA,NA,Chemeron,Chemeron,Perissodactyla,Rhinocerotidae,Rhinocerotinae,Dicerotini,NA,Diceros,NA,praecox,NA,3.5,3.7,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 102),NA,NA,Chemeron,Chemeron,Perissodactyla,Equidae,Equinae,Hipparionini,NA,Hipparion,NA,sp,NA,3.5,3.7,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 102),NA,NA,Chemeron,Chemeron,Proboscidea,Elephantidae,Elephantinae,Loxodontini,NA,Loxodonta,NA,adaurora,NA,3.5,3.7,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 102),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Alcelaphinae,Alcelaphini,NA,Megalotragus,NA,sp,NA,3.5,3.7,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 102),NA,NA,Chemeron,Chemeron,Artiodactyla,Suidae,Tetraconodontinae,NA,NA,Notochoerus,NA,euilus,NA,3.5,3.7,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 102),NA,NA,Chemeron,Chemeron,Artiodactyla,Suidae,Tetraconodontinae,NA,NA,Nyanzachoerus,NA,kanamensis,NA,3.5,3.7,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 102),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Bovinae,Bovini,NA,Pelorovis,NA,oldowayensis,NA,3.5,3.7,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 102),NA,NA,Chemeron,Chemeron,Primates,Cercopithecidae,Cercopithecinae,Papionini,NA,Theropithecus,NA,brumpti,NA,3.5,3.7,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 102),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Bovinae,Tragelaphini,NA,Tragelaphus,NA,nakuae,NA,3.5,3.7,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 102),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Antilopinae,Antilopini,NA,gen,NA,sp,NA,3.5,3.7,12,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 104),NA,NA,Chemeron,Chemeron,Artiodactyla,Bovidae,Aepycerotinae,Aepycerotini,NA,Aepyceros,NA,shungurae,NA,2.56,3.29,10,NA
Tugen Hills,Tugen Hills,Chemeron (BPRP 104),NA,NA,Chemeron,Chemeron,Perissodactyla,Rhinocerotidae,Rhinocerotinae,Dicerotini,NA,Ceratotherium,NA,simum,NA,2.56,3.29,10,NA
